,date,open,high,low,close,volume
0,2025-01-19 16:00:00,102795.2,104685.0,101000.0,102729.3,194.06
1,2025-01-19 17:00:00,102950.9,109908.4,101200.0,105258.1,193.768
2,2025-01-19 18:00:00,105258.1,108332.8,100532.2,105218.1,163.933
3,2025-01-19 19:00:00,105218.1,108085.3,100200.0,105804.7,118.424
4,2025-01-19 20:00:00,105804.7,108332.9,101000.0,105239.6,170.934
5,2025-01-19 21:00:00,105500.0,108332.9,101022.4,102799.2,131.503
6,2025-01-19 22:00:00,102799.2,105010.0,97506.3,97999.9,291.61
7,2025-01-19 23:00:00,97999.9,104998.9,96163.3,96889.4,331.796
8,2025-01-20 00:00:00,96889.4,103000.0,96666.0,96875.9,75.096
9,2025-01-20 01:00:00,96876.0,100500.0,96875.9,98600.0,64.86
10,2025-01-20 02:00:00,98600.0,100500.0,96876.0,99500.0,66.164
11,2025-01-20 03:00:00,99500.0,102045.0,96876.0,99822.5,65.878
12,2025-01-20 04:00:00,100374.8,103544.0,97569.8,102626.6,80.066
13,2025-01-20 05:00:00,102626.6,103544.0,97500.0,101854.5,77.534
14,2025-01-20 06:00:00,101898.9,108332.8,96764.0,106000.0,424.752
15,2025-01-20 07:00:00,105510.9,108339.9,100532.2,105500.0,181.055
16,2025-01-20 08:00:00,104880.1,108339.8,104611.1,107102.0,169.148
17,2025-01-20 09:00:00,107101.9,108340.0,104611.1,104611.2,809.938
18,2025-01-20 10:00:00,105129.6,107499.9,104611.1,105997.3,266.993
19,2025-01-20 11:00:00,105999.9,107499.9,103136.7,107107.5,171.371
20,2025-01-20 12:00:00,107107.5,107499.5,100532.2,104736.5,901.01
21,2025-01-20 13:00:00,104736.5,109688.0,104500.0,107300.1,272.343
22,2025-01-20 14:00:00,107300.1,107800.0,101736.1,105500.0,209.978
23,2025-01-20 15:00:00,105480.0,107604.5,104769.9,106002.7,193.768
24,2025-01-20 16:00:00,106160.0,107343.0,100721.0,105212.5,227.602
25,2025-01-20 17:00:00,105725.0,106000.0,100532.2,101200.6,220.419
26,2025-01-20 18:00:00,101438.5,104000.0,100000.0,100944.1,145.14
27,2025-01-20 19:00:00,101444.2,103500.0,100944.1,103342.4,217.8
28,2025-01-20 20:00:00,102760.0,103342.5,102080.1,102659.3,154.105
29,2025-01-20 21:00:00,102983.5,103342.5,102080.0,102920.1,136.323
30,2025-01-20 22:00:00,102920.2,103342.5,101101.0,103000.0,68.837
31,2025-01-20 23:00:00,102400.4,103342.5,101101.0,102695.2,64.227
32,2025-01-21 00:00:00,102715.4,103342.5,100350.0,101000.0,110.853
33,2025-01-21 01:00:00,101000.0,103342.0,99750.0,102762.3,84.636
34,2025-01-21 02:00:00,102762.3,103342.0,99600.0,101312.6,47.886
35,2025-01-21 03:00:00,101312.6,103341.9,98200.0,102126.5,83.266
36,2025-01-21 04:00:00,102484.8,103300.0,97250.0,99000.0,94.565
37,2025-01-21 05:00:00,99020.0,101931.6,99000.0,100912.2,44.554
38,2025-01-21 06:00:00,101000.0,101931.6,100200.0,101554.3,73.645
39,2025-01-21 07:00:00,101758.2,103000.0,99500.0,101500.0,115.717
40,2025-01-21 08:00:00,101500.0,103299.9,98200.0,100000.1,138.701
41,2025-01-21 09:00:00,100000.1,103299.9,97250.0,100241.0,124.199
42,2025-01-21 10:00:00,100665.1,103000.0,97200.0,101680.2,249.979
43,2025-01-21 11:00:00,101680.2,102400.0,98000.0,101500.0,178.605
44,2025-01-21 12:00:00,101500.0,103999.9,100656.8,101600.3,171.967
45,2025-01-21 13:00:00,102170.4,104000.0,100040.0,101000.0,169.142
46,2025-01-21 14:00:00,101309.8,103999.9,100000.0,102810.2,183.065
47,2025-01-21 15:00:00,102810.2,103000.0,100000.0,102999.8,166.303
48,2025-01-21 16:00:00,102999.8,102999.9,100000.0,102448.7,183.328
49,2025-01-21 17:00:00,102438.7,103999.9,102333.0,102802.7,119.734
50,2025-01-21 18:00:00,102814.1,104000.0,101500.0,102500.0,178.029
51,2025-01-21 19:00:00,102409.4,104000.0,100227.0,102557.8,111.248
52,2025-01-21 20:00:00,102547.9,103107.9,102351.0,102899.9,53.492
53,2025-01-21 21:00:00,102821.7,103999.9,101999.9,102775.9,124.589
54,2025-01-21 22:00:00,102773.0,103721.0,100353.7,102785.8,86.008
55,2025-01-21 23:00:00,102785.8,103150.0,102650.0,103037.7,37.045
56,2025-01-22 00:00:00,103040.9,103899.9,103011.0,103091.2,50.248
57,2025-01-22 01:00:00,103091.2,103178.8,102650.0,103022.5,55.736
58,2025-01-22 02:00:00,103022.5,103900.0,102650.0,103196.5,79.449
59,2025-01-22 03:00:00,103196.5,103900.0,102650.0,103242.5,72.746
60,2025-01-22 04:00:00,103242.5,103507.5,102949.3,103357.3,53.096
61,2025-01-22 05:00:00,103357.3,103900.0,102650.0,103669.4,81.177
62,2025-01-22 06:00:00,103669.5,103900.0,103270.9,103899.9,84.524
63,2025-01-22 07:00:00,103899.8,103999.8,102760.0,103858.7,280.517
64,2025-01-22 08:00:00,103858.7,103999.8,103331.6,103628.9,80.14
65,2025-01-22 09:00:00,103628.9,103850.0,103316.7,103777.0,77.117
66,2025-01-22 10:00:00,103777.0,103850.0,103474.4,103781.2,113.976
67,2025-01-22 11:00:00,103781.2,103859.8,103310.0,103668.9,128.836
68,2025-01-22 12:00:00,103679.0,103900.0,103200.0,103759.0,110.62
69,2025-01-22 13:00:00,103759.0,103999.8,103100.0,103668.2,155.684
70,2025-01-22 14:00:00,103668.2,103999.8,96885.9,102963.9,502.592
71,2025-01-22 15:00:00,102750.0,103252.8,97000.3,103086.5,152.144
72,2025-01-22 16:00:00,103199.9,103200.0,98200.0,101097.6,172.15
73,2025-01-22 17:00:00,101067.2,102766.0,99000.0,101812.7,117.267
74,2025-01-22 18:00:00,101812.7,102766.0,97000.0,101020.0,499.8
75,2025-01-22 19:00:00,101580.0,103200.0,99028.8,102409.9,139.214
76,2025-01-22 20:00:00,102297.7,103170.8,99348.0,100466.0,117.038
77,2025-01-22 21:00:00,100568.8,103200.0,99348.0,102080.0,57.852
78,2025-01-22 22:00:00,101358.4,103200.0,99529.9,100050.4,76.135
79,2025-01-22 23:00:00,100664.2,103190.0,99365.1,100499.9,125.771
80,2025-01-23 00:00:00,100050.4,103190.0,99365.0,102000.0,93.418
81,2025-01-23 01:00:00,102119.8,103190.0,99365.0,102124.0,59.221
82,2025-01-23 02:00:00,101987.4,103190.0,99365.0,103000.0,54.024
83,2025-01-23 03:00:00,102334.3,103190.0,99028.8,101009.9,121.838
84,2025-01-23 04:00:00,101009.9,103008.0,99532.0,102189.2,121.919
85,2025-01-23 05:00:00,102420.0,103007.9,99666.0,101985.0,98.824
86,2025-01-23 06:00:00,102000.0,103007.9,99720.0,102000.1,95.506
87,2025-01-23 07:00:00,102000.1,103000.0,99720.0,101000.0,142.308
88,2025-01-23 08:00:00,101000.0,102900.0,99720.0,102000.0,102.47
89,2025-01-23 09:00:00,102000.0,102500.0,99720.1,100720.0,147.433
90,2025-01-23 10:00:00,100800.0,104000.0,99028.8,101087.2,2034.184
91,2025-01-23 11:00:00,101206.9,103989.9,99100.0,100863.8,159.331
92,2025-01-23 12:00:00,100863.8,103980.0,99100.0,100641.1,130.278
93,2025-01-23 13:00:00,100287.7,102800.0,98400.0,99524.1,305.336
94,2025-01-23 14:00:00,99452.7,103000.0,99249.6,102776.0,351.693
95,2025-01-23 15:00:00,102776.0,103000.0,101900.0,102330.0,188.973
96,2025-01-23 16:00:00,102330.1,107839.1,100999.9,102750.1,441.873
97,2025-01-23 17:00:00,102750.2,104988.0,102400.0,104500.0,223.26
98,2025-01-23 18:00:00,103794.2,104990.0,102400.0,102921.8,237.515
99,2025-01-23 19:00:00,102921.8,104990.0,102400.0,103071.2,158.307
100,2025-01-23 20:00:00,103071.2,104990.0,102401.0,102962.4,153.059
101,2025-01-23 21:00:00,102962.4,104899.9,102450.0,103576.5,173.391
102,2025-01-23 22:00:00,103211.4,104899.9,102519.4,103163.3,95.329
103,2025-01-23 23:00:00,103000.0,104899.9,102519.5,103433.4,87.1
104,2025-01-24 00:00:00,103000.1,104899.6,103000.0,103000.1,66.624
105,2025-01-24 01:00:00,103200.0,104899.6,102742.5,102999.9,142.657
106,2025-01-24 02:00:00,102999.9,103000.0,102427.1,102452.5,100.506
107,2025-01-24 03:00:00,102427.2,104899.6,102390.0,102390.0,206.968
108,2025-01-24 04:00:00,102900.0,104990.0,101900.0,103576.5,117.807
109,2025-01-24 05:00:00,103386.6,104990.0,101900.0,102813.5,120.729
110,2025-01-24 06:00:00,103100.0,104989.9,101900.0,104120.0,81.122
111,2025-01-24 07:00:00,104989.8,104989.9,101900.0,103440.0,138.26
112,2025-01-24 08:00:00,103326.0,104990.0,101900.0,104081.8,149.291
113,2025-01-24 09:00:00,104081.8,105010.0,101900.0,103780.1,140.544
114,2025-01-24 10:00:00,104587.1,107859.9,101900.0,104077.3,196.641
115,2025-01-24 11:00:00,104000.0,107488.0,102940.0,105214.9,201.929
116,2025-01-24 12:00:00,105000.0,106537.4,103100.0,105820.0,153.412
117,2025-01-24 13:00:00,105820.0,106200.0,103081.2,103440.0,111.265
118,2025-01-24 14:00:00,103440.0,105700.0,103081.0,103100.0,236.906
119,2025-01-24 15:00:00,103171.1,105700.0,103100.0,105200.8,215.685
120,2025-01-24 16:00:00,105200.8,107000.0,103100.0,104849.5,183.976
121,2025-01-24 17:00:00,104849.5,106900.0,103200.0,106700.0,173.296
122,2025-01-24 18:00:00,106465.5,107721.7,103500.0,105000.0,173.75
123,2025-01-24 19:00:00,105500.0,107721.6,103700.0,106192.8,194.43
124,2025-01-24 20:00:00,106192.8,107721.6,103200.0,104017.5,123.597
125,2025-01-24 21:00:00,103935.1,107700.0,103000.1,107690.0,107.943
126,2025-01-24 22:00:00,107689.9,107721.6,103000.5,106500.0,86.191
127,2025-01-24 23:00:00,106500.0,107721.6,103000.5,104500.0,79.097
128,2025-01-25 00:00:00,104376.1,107721.7,103200.0,105679.4,50.466
129,2025-01-25 01:00:00,105679.4,107500.0,105076.3,105743.7,77.046
130,2025-01-25 02:00:00,105480.0,107500.0,105076.3,105076.4,102.196
131,2025-01-25 03:00:00,105805.8,107500.0,103200.0,105000.0,77.827
132,2025-01-25 04:00:00,105000.0,107499.6,103000.5,105128.4,126.137
133,2025-01-25 05:00:00,105273.1,107499.6,104000.2,106012.6,140.776
134,2025-01-25 06:00:00,106428.1,107499.0,104200.0,105944.4,69.781
135,2025-01-25 07:00:00,106338.8,107490.0,104000.0,106012.6,106.038
136,2025-01-25 08:00:00,106248.8,107490.0,105200.0,107399.9,151.377
137,2025-01-25 09:00:00,106800.0,107489.9,103200.0,106500.0,203.324
138,2025-01-25 10:00:00,106235.8,106998.9,103200.1,106007.2,99.215
139,2025-01-25 11:00:00,105558.6,106999.0,103761.1,104500.0,101.723
140,2025-01-25 12:00:00,104120.0,106998.9,103700.0,106950.0,91.124
141,2025-01-25 13:00:00,106425.5,106950.0,104200.0,105040.2,104.013
142,2025-01-25 14:00:00,105100.1,106950.0,101310.3,104890.2,438.511
143,2025-01-25 15:00:00,103533.5,106612.1,101400.0,104072.6,145.337
144,2025-01-25 16:00:00,104500.0,105710.8,102500.0,104460.0,149.811
145,2025-01-25 17:00:00,104460.0,105637.4,103458.9,104999.9,100.393
146,2025-01-25 18:00:00,104302.7,105637.4,103000.0,105492.5,154.2
147,2025-01-25 19:00:00,105134.6,105637.4,102500.0,104119.9,123.191
148,2025-01-25 20:00:00,104119.9,105790.0,102220.0,104280.6,121.665
149,2025-01-25 21:00:00,104000.2,105790.0,101980.0,105518.2,64.241
150,2025-01-25 22:00:00,104894.9,105932.0,101980.0,103000.1,123.402
151,2025-01-25 23:00:00,103135.3,105500.0,101500.0,102830.8,90.492
152,2025-01-26 00:00:00,102830.8,106000.0,102100.0,104134.6,65.126
153,2025-01-26 01:00:00,104120.0,105838.9,102000.0,105838.9,91.24
154,2025-01-26 02:00:00,105838.8,106400.0,101500.0,104016.2,70.763
155,2025-01-26 03:00:00,104016.2,106458.9,101382.4,102970.8,120.934
156,2025-01-26 04:00:00,103493.5,106107.0,102420.0,104016.2,73.071
157,2025-01-26 05:00:00,104016.2,106373.2,101382.4,103483.0,92.95
158,2025-01-26 06:00:00,103483.0,105500.0,101500.0,103000.0,101.271
159,2025-01-26 07:00:00,103000.0,106370.0,102500.0,103551.3,103.14
160,2025-01-26 08:00:00,103334.2,106370.0,102500.0,103241.2,73.727
161,2025-01-26 09:00:00,103700.0,104999.9,101882.5,102600.1,155.587
162,2025-01-26 10:00:00,102600.1,106370.0,101882.5,104504.4,462.293
163,2025-01-26 11:00:00,104304.2,106290.0,102810.0,105497.6,95.531
164,2025-01-26 12:00:00,105522.1,106250.0,102700.0,104997.4,130.819
165,2025-01-26 13:00:00,104734.9,106000.0,102950.0,104643.2,85.801
166,2025-01-26 14:00:00,104999.9,106200.0,102700.0,105626.2,162.814
167,2025-01-26 15:00:00,105364.1,106199.0,103000.0,104600.1,121.13
168,2025-01-26 16:00:00,104600.1,106200.0,104061.7,105612.9,174.664
169,2025-01-26 17:00:00,105612.9,106200.0,104061.7,105841.4,157.303
170,2025-01-26 18:00:00,105841.4,106199.8,104500.0,105790.1,111.431
171,2025-01-26 19:00:00,105859.1,106199.9,104500.0,105800.0,111.335
172,2025-01-26 20:00:00,105799.9,106190.0,104950.0,105790.0,106.878
