,date,money,clear_money
0,2025-01-20 00:00:00,0.0,0.0
1,2025-01-20 04:00:00,0.0,-53.12394999999378
2,2025-01-20 08:00:00,-4936.399999999994,-4989.523949999988
3,2025-01-20 12:00:00,-4373.399999999994,-4426.523949999988
4,2025-01-20 16:00:00,930.9000000000087,877.776050000015
5,2025-01-20 20:00:00,2019.6000000000058,1966.476050000012
6,2025-01-21 00:00:00,-1239.199999999997,-1292.3239499999909
7,2025-01-21 04:00:00,-2573.699999999997,-2626.823949999991
8,2025-01-21 08:00:00,-4000.2999999999884,-4053.423949999982
9,2025-01-21 12:00:00,-3325.199999999997,-3378.323949999991
10,2025-01-21 16:00:00,-4267.199999999997,-4320.323949999991
11,2025-01-21 20:00:00,-2522.899999999994,-2576.023949999988
12,2025-01-22 00:00:00,-2318.7999999999884,-2371.923949999982
13,2025-01-22 04:00:00,742.0,688.8760500000062
14,2025-01-22 08:00:00,-133.39999999999418,-186.52394999998796
15,2025-01-22 12:00:00,-659.6999999999971,-712.8239499999909
16,2025-01-22 16:00:00,-1184.0999999999913,-1237.223949999985
17,2025-01-22 20:00:00,-1164.0,-1217.1239499999938
18,2025-01-23 00:00:00,-2109.899999999994,-2163.023949999988
19,2025-01-23 04:00:00,-1647.8999999999942,-1701.023949999988
20,2025-01-23 08:00:00,-2583.0,-2636.123949999994
21,2025-01-23 12:00:00,-3830.899999999994,-3884.023949999988
22,2025-01-23 16:00:00,-3579.5,-3683.9581499999913
23,2025-01-23 20:00:00,-3579.5,-3683.9581499999913
24,2025-01-24 00:00:00,-3579.5,-3683.9581499999913
25,2025-01-24 04:00:00,-3579.5,-3683.9581499999913
26,2025-01-24 08:00:00,-3579.5,-3683.9581499999913
27,2025-01-24 12:00:00,-3579.5,-3683.9581499999913
28,2025-01-24 16:00:00,-3579.5,-3683.9581499999913
29,2025-01-24 20:00:00,-3579.5,-3683.9581499999913
30,2025-01-25 00:00:00,-3579.5,-3683.9581499999913
31,2025-01-25 04:00:00,-3579.5,-3683.9581499999913
32,2025-01-25 08:00:00,-3579.5,-3683.9581499999913
33,2025-01-25 12:00:00,-3579.5,-3683.9581499999913
34,2025-01-25 16:00:00,-3579.5,-3683.9581499999913
35,2025-01-25 20:00:00,-3579.5,-3683.9581499999913
36,2025-01-26 00:00:00,-3579.5,-3683.9581499999913
37,2025-01-26 04:00:00,-3579.5,-3683.9581499999913
38,2025-01-26 08:00:00,-3579.5,-3683.9581499999913
39,2025-01-26 12:00:00,-3579.5,-3736.476399999985
40,2025-01-26 16:00:00,-3652.300000000003,-3809.276399999988
41,2025-01-26 20:00:00,-3840.399999999994,-3997.376399999979
42,2025-01-27 00:00:00,-3696.100000000006,-3853.076399999991
43,2025-01-27 04:00:00,-3565.899999999994,-3722.876399999979
44,2025-01-27 08:00:00,-6055.899999999994,-6212.876399999979
45,2025-01-27 12:00:00,-7266.800000000003,-7423.776399999988
46,2025-01-27 16:00:00,-9619.699999999997,-9776.676399999982
47,2025-01-27 20:00:00,-9916.0,-10122.326399999976
48,2025-01-28 00:00:00,-9916.0,-10122.326399999976
49,2025-01-28 04:00:00,-9916.0,-10122.326399999976
