,date,money,clear_money
0,2025-01-20 00:00:00,0.0,0.0
1,2025-01-20 04:00:00,0.0,-53.12394999999378
2,2025-01-20 08:00:00,-4936.399999999994,-5040.179699999979
3,2025-01-20 12:00:00,-4936.399999999994,-5040.179699999979
4,2025-01-20 16:00:00,-4936.399999999994,-5040.179699999979
5,2025-01-20 20:00:00,-4936.399999999994,-5094.313449999972
6,2025-01-21 00:00:00,-8195.199999999997,-8353.113449999975
7,2025-01-21 04:00:00,-9529.699999999997,-9687.613449999975
8,2025-01-21 08:00:00,-10956.299999999988,-11114.213449999967
9,2025-01-21 12:00:00,-10281.199999999997,-10439.113449999975
10,2025-01-21 16:00:00,-11223.199999999997,-11381.113449999975
11,2025-01-21 20:00:00,-9478.899999999994,-9636.813449999972
12,2025-01-22 00:00:00,-9274.799999999988,-9432.713449999967
13,2025-01-22 04:00:00,-6214.0,-6371.913449999978
14,2025-01-22 08:00:00,-7089.399999999994,-7247.313449999972
15,2025-01-22 12:00:00,-7615.699999999997,-7773.613449999975
16,2025-01-22 16:00:00,-8140.099999999991,-8298.01344999997
17,2025-01-22 20:00:00,-8120.0,-8277.913449999978
18,2025-01-23 00:00:00,-9065.899999999994,-9223.813449999972
19,2025-01-23 04:00:00,-8603.899999999994,-8761.813449999972
20,2025-01-23 08:00:00,-9539.0,-9696.913449999978
21,2025-01-23 12:00:00,-10786.899999999994,-10944.813449999972
22,2025-01-23 16:00:00,-10535.5,-10693.413449999978
23,2025-01-23 20:00:00,-11294.699999999997,-11503.568049999973
24,2025-01-24 00:00:00,-11294.699999999997,-11503.568049999973
25,2025-01-24 04:00:00,-11294.699999999997,-11555.424899999969
26,2025-01-24 08:00:00,-11445.100000000006,-11705.824899999978
27,2025-01-24 12:00:00,-11423.600000000006,-11684.324899999978
28,2025-01-24 16:00:00,-12580.899999999994,-12841.624899999966
29,2025-01-24 20:00:00,-12955.0,-13215.724899999972
30,2025-01-25 00:00:00,-13402.800000000003,-13716.435799999963
31,2025-01-25 04:00:00,-13402.800000000003,-13769.299149999963
32,2025-01-25 08:00:00,-12484.200000000012,-12850.699149999971
33,2025-01-25 12:00:00,-12830.0,-13196.49914999996
34,2025-01-25 16:00:00,-12025.400000000009,-12391.899149999968
35,2025-01-25 20:00:00,-12302.900000000009,-12669.399149999968
36,2025-01-26 00:00:00,-12528.200000000012,-12894.699149999971
37,2025-01-26 04:00:00,-12681.700000000012,-13048.199149999971
38,2025-01-26 08:00:00,-12378.100000000006,-12796.95014999996
39,2025-01-26 12:00:00,-12378.100000000006,-12796.95014999996
40,2025-01-26 16:00:00,-12378.100000000006,-12849.431999999957
41,2025-01-26 20:00:00,-12566.199999999997,-13037.531999999948
42,2025-01-27 00:00:00,-12421.900000000009,-12893.23199999996
43,2025-01-27 04:00:00,-12291.699999999997,-12763.031999999948
44,2025-01-27 08:00:00,-14781.699999999997,-15304.31204999995
45,2025-01-27 12:00:00,-14781.699999999997,-15354.986649999948
46,2025-01-27 16:00:00,-12428.800000000003,-13002.086649999954
47,2025-01-27 20:00:00,-12132.5,-12705.78664999995
48,2025-01-28 00:00:00,-14503.300000000003,-15076.586649999954
