,date,money,clear_money
0,2025-01-20 00:00:00,0.0,0.0
1,2025-01-20 04:00:00,0.0,0.0
2,2025-01-20 08:00:00,0.0,0.0
3,2025-01-20 12:00:00,0.0,-101.8744999999908
4,2025-01-20 16:00:00,5304.300000000003,5202.425500000012
5,2025-01-20 20:00:00,6393.0,6291.125500000009
6,2025-01-21 00:00:00,3134.199999999997,3032.3255000000063
7,2025-01-21 04:00:00,1799.699999999997,1697.8255000000063
8,2025-01-21 08:00:00,373.1000000000058,271.225500000015
9,2025-01-21 12:00:00,1048.199999999997,946.3255000000063
10,2025-01-21 16:00:00,106.19999999999709,4.325500000006286
11,2025-01-21 20:00:00,1850.5,1748.6255000000092
12,2025-01-22 00:00:00,2054.600000000006,1952.725500000015
13,2025-01-22 04:00:00,5115.399999999994,5013.525500000003
14,2025-01-22 08:00:00,4240.0,4138.125500000009
15,2025-01-22 12:00:00,3713.699999999997,3611.8255000000063
16,2025-01-22 16:00:00,3189.300000000003,3087.425500000012
17,2025-01-22 20:00:00,3209.399999999994,3107.5255000000034
18,2025-01-23 00:00:00,2263.5,2161.625500000009
19,2025-01-23 04:00:00,2725.5,2519.0255000000034
20,2025-01-23 08:00:00,2725.5,2519.0255000000034
21,2025-01-23 12:00:00,2725.5,2519.0255000000034
22,2025-01-23 16:00:00,2725.5,2519.0255000000034
23,2025-01-23 20:00:00,2725.5,2519.0255000000034
24,2025-01-24 00:00:00,2725.5,2519.0255000000034
25,2025-01-24 04:00:00,2725.5,2519.0255000000034
26,2025-01-24 08:00:00,2725.5,2519.0255000000034
27,2025-01-24 12:00:00,2725.5,2519.0255000000034
28,2025-01-24 16:00:00,2725.5,2519.0255000000034
29,2025-01-24 20:00:00,2725.5,2519.0255000000034
30,2025-01-25 00:00:00,2725.5,2519.0255000000034
31,2025-01-25 04:00:00,2725.5,2519.0255000000034
32,2025-01-25 08:00:00,2725.5,2414.2174000000086
33,2025-01-25 12:00:00,3071.2999999999884,2760.017399999997
34,2025-01-25 16:00:00,2266.699999999997,1955.4174000000057
35,2025-01-25 20:00:00,2544.199999999997,2232.9174000000057
36,2025-01-26 00:00:00,2769.5,2458.2174000000086
37,2025-01-26 04:00:00,2923.0,2611.7174000000086
38,2025-01-26 08:00:00,2619.399999999994,2308.117400000003
39,2025-01-26 12:00:00,2953.899999999994,2642.617400000003
40,2025-01-26 16:00:00,2881.0999999999913,2569.8174
41,2025-01-26 20:00:00,2693.0,2381.7174000000086
42,2025-01-27 00:00:00,2837.2999999999884,2421.0975000000035
43,2025-01-27 04:00:00,2837.2999999999884,2421.0975000000035
44,2025-01-27 08:00:00,2837.2999999999884,2421.0975000000035
45,2025-01-27 12:00:00,2837.2999999999884,2421.0975000000035
46,2025-01-27 16:00:00,2837.2999999999884,2421.0975000000035
47,2025-01-27 20:00:00,2837.2999999999884,2421.0975000000035
48,2025-01-28 00:00:00,2837.2999999999884,2421.0975000000035
49,2025-01-28 04:00:00,2837.2999999999884,2421.0975000000035
50,2025-01-28 08:00:00,2837.2999999999884,2421.0975000000035
51,2025-01-28 12:00:00,2837.2999999999884,2421.0975000000035
52,2025-01-28 16:00:00,2837.2999999999884,2421.0975000000035
53,2025-01-28 20:00:00,2837.2999999999884,2318.3796
54,2025-01-29 00:00:00,2824.5999999999767,2305.6795999999886
55,2025-01-29 04:00:00,3186.4999999999854,2667.5795999999973
56,2025-01-29 08:00:00,4275.599999999977,3756.6795999999886
57,2025-01-29 12:00:00,3561.1999999999825,3042.2795999999944
58,2025-01-29 16:00:00,2831.9999999999854,2313.0795999999973
59,2025-01-29 20:00:00,2960.4999999999854,2441.5795999999973
60,2025-01-30 00:00:00,3620.9999999999854,3102.0795999999973
61,2025-01-30 04:00:00,2004.6999999999825,1485.7795999999944
62,2025-01-30 08:00:00,1856.9999999999854,1338.0795999999973
63,2025-01-30 12:00:00,399.49999999998545,-119.4204000000027
64,2025-01-30 16:00:00,470.0999999999767,-48.82040000001143
65,2025-01-30 20:00:00,303.29999999998836,-215.6203999999998
66,2025-01-31 00:00:00,35.79999999998836,-483.1203999999998
67,2025-01-31 04:00:00,-104.60000000002037,-623.5204000000085
68,2025-01-31 08:00:00,878.2999999999884,359.3796000000002
69,2025-01-31 12:00:00,1268.4999999999854,749.5795999999973
70,2025-01-31 16:00:00,1395.0999999999767,876.1795999999886
71,2025-01-31 20:00:00,863.2999999999884,344.3796000000002
72,2025-02-01 00:00:00,148.19999999998254,-370.7204000000056
73,2025-02-01 04:00:00,3279.3999999999796,2760.4795999999915
74,2025-02-01 08:00:00,3175.4999999999854,2656.5795999999973
75,2025-02-01 12:00:00,3351.2999999999884,2832.3796
76,2025-02-01 16:00:00,3428.1999999999825,2909.2795999999944
77,2025-02-01 20:00:00,3575.0999999999767,3056.1795999999886
78,2025-02-02 00:00:00,3523.6999999999825,3004.7795999999944
79,2025-02-02 04:00:00,3935.0999999999767,3416.1795999999886
80,2025-02-02 08:00:00,4951.599999999977,4432.679599999989
81,2025-02-02 12:00:00,6394.39999999998,5875.4795999999915
82,2025-02-02 16:00:00,5968.999999999985,5450.079599999997
83,2025-02-02 20:00:00,6743.599999999977,6224.679599999989
84,2025-02-03 00:00:00,6256.599999999977,5737.679599999989
85,2025-02-03 04:00:00,7323.1999999999825,6804.279599999994
86,2025-02-03 08:00:00,7890.6999999999825,7371.779599999994
87,2025-02-03 12:00:00,11553.599999999977,11034.679599999989
88,2025-02-03 16:00:00,10284.099999999977,9765.179599999989
89,2025-02-03 20:00:00,10484.39999999998,9965.479599999991
90,2025-02-04 00:00:00,6752.499999999985,6233.579599999997
91,2025-02-04 04:00:00,3723.2999999999884,3204.3796
92,2025-02-04 08:00:00,4261.499999999985,3742.5795999999973
93,2025-02-04 12:00:00,4958.099999999977,4439.179599999989
94,2025-02-04 16:00:00,7150.099999999977,6631.179599999989
95,2025-02-04 20:00:00,6631.1999999999825,6112.279599999994
96,2025-02-05 00:00:00,6244.599999999977,5725.679599999989
97,2025-02-05 04:00:00,6743.39999999998,6224.4795999999915
98,2025-02-05 08:00:00,7845.299999999988,7326.3796
99,2025-02-05 12:00:00,7565.6999999999825,7046.779599999994
100,2025-02-05 16:00:00,7740.299999999988,7221.3796
101,2025-02-05 20:00:00,7393.499999999985,6874.579599999997
102,2025-02-06 00:00:00,7491.89999999998,6972.9795999999915
103,2025-02-06 04:00:00,8228.099999999977,7709.179599999989
104,2025-02-06 08:00:00,9001.999999999985,8483.079599999997
105,2025-02-06 12:00:00,8249.599999999977,7730.679599999989
106,2025-02-06 16:00:00,7390.299999999988,6871.3796
107,2025-02-06 20:00:00,6728.89999999998,6209.9795999999915
108,2025-02-07 00:00:00,8269.599999999977,7750.679599999989
109,2025-02-07 04:00:00,9609.099999999977,9090.179599999989
110,2025-02-07 08:00:00,9040.099999999977,8521.179599999989
111,2025-02-07 12:00:00,8144.999999999985,7626.079599999997
112,2025-02-07 16:00:00,8850.099999999977,8331.179599999989
113,2025-02-07 20:00:00,7851.39999999998,7332.4795999999915
114,2025-02-08 00:00:00,7298.099999999977,6779.179599999989
115,2025-02-08 04:00:00,8715.099999999977,8196.179599999989
116,2025-02-08 08:00:00,9100.699999999983,8581.779599999994
117,2025-02-08 12:00:00,8895.199999999983,8376.279599999994
118,2025-02-08 16:00:00,9401.799999999988,8882.8796
119,2025-02-08 20:00:00,9481.099999999977,8962.179599999989
120,2025-02-09 00:00:00,9757.199999999983,9238.279599999994
121,2025-02-09 04:00:00,9005.199999999983,8486.279599999994
122,2025-02-09 08:00:00,9143.299999999988,8624.3796
123,2025-02-09 12:00:00,8276.799999999988,7757.8796
124,2025-02-09 16:00:00,8535.199999999983,8016.279599999994
125,2025-02-09 20:00:00,9043.999999999985,8525.079599999997
126,2025-02-10 00:00:00,9117.199999999983,8598.279599999994
127,2025-02-10 04:00:00,9543.799999999988,9024.8796
128,2025-02-10 08:00:00,9131.599999999977,8612.679599999989
129,2025-02-10 12:00:00,8785.199999999983,8266.279599999994
130,2025-02-10 16:00:00,8168.89999999998,7649.9795999999915
131,2025-02-10 20:00:00,7927.999999999985,7409.079599999997
132,2025-02-11 00:00:00,8367.499999999985,7848.579599999997
133,2025-02-11 04:00:00,8211.599999999977,7692.679599999989
134,2025-02-11 08:00:00,8175.999999999985,7657.079599999997
135,2025-02-11 12:00:00,7989.6999999999825,7470.779599999994
136,2025-02-11 16:00:00,7324.099999999977,6805.179599999989
137,2025-02-11 20:00:00,7455.1999999999825,6936.279599999994
138,2025-02-12 00:00:00,8591.89999999998,8072.9795999999915
139,2025-02-12 04:00:00,10567.199999999983,10048.279599999994
140,2025-02-12 08:00:00,9823.799999999988,9304.8796
141,2025-02-12 12:00:00,10303.799999999988,9784.8796
142,2025-02-12 16:00:00,9529.39999999998,9010.479599999991
